time cplex  10bestcguCost  time back10  10cguCost  cplexCost  cplexInfeasible  10cguInfeasible
50 13       910.25         -            0.03       374        -                -                0
50 14       911.24         -            0.02       369        -                -                0
50 15       908.07         -            0.03       284        -                -                0
50 2        0.05           -            0.01       20         20               -                0
50 3        0.32           -            0.01       35         35               -                0
50 4        0.77           -            0.01       81         81               -                0
50 5        2.55           -            0.01       78         78               -                0
50 6        8.32           -            0.01       97         97               -                0
50 7        19.14          -            0.01       130        130              -                0
50 8        62.25          -            0.02       136        136              -                0
50 9        36.50          -            0.02       177        177              -                0
