# file Status  time cplex  time back10  10cguCost  cplexCost  cplexInfeasible  10cguInfeasible
1       Infeasible  -            -          -          -                1                -
2       Infeasible  -            -          -          -                1                -
3       Infeasible  -            -          -          -                1                -
4       -           -            -          -          -                1                -
42 2    -           0.04         0.00       14         14               -                0
42 3    -           0.27         0.01       38         38               -                0
42 4    -           0.73         0.01       60         60               -                0
42 5    -           4.19         0.01       86         86               -                0
42 6    -           5.21         0.01       104        104              -                0
42 7    -           41.37        0.02       112        112              -                0
42 8    -           65.43        0.02       135        135              -                0
42 9    -           37.04        0.01       155        155              -                0
43 10   -           767.46       0.03       228        228              -                0
43 11   -           799.90       0.03       237        237              -                0
43 12   -           903.38       0.03       243        -                -                0
43 13   -           904.30       0.02       235        -                -                0
43 14   -           905.04       0.03       258        -                -                0
43 15   -           906.22       0.05       364        -                -                0
43 2    -           0.04         0.01       14         14               -                0
43 3    -           0.44         0.01       38         38               -                0
43 4    -           0.97         0.01       60         60               -                0
43 5    -           6.36         0.01       86         86               -                0
43 6    -           12.78        0.02       104        104              -                0
43 7    -           43.25        0.02       112        112              -                0
43 8    -           55.62        0.02       135        135              -                0
43 9    -           394.39       0.02       155        155              -                0
44 10   -           902.33       0.03       228        -                -                0
44 11   -           902.61       0.03       237        -                -                0
44 12   -           903.48       0.03       243        -                -                0
44 13   -           904.52       0.02       235        -                -                0
44 14   -           905.21       0.02       258        -                -                0
44 15   -           905.74       0.06       364        -                -                0
44 2    -           0.04         0.01       14         14               -                0
44 3    -           0.32         0.01       38         38               -                0
44 4    -           1.02         0.01       60         60               -                0
44 5    -           8.42         0.01       86         86               -                0
44 6    -           10.02        0.01       104        104              -                0
44 7    -           44.27        0.02       112        112              -                0
44 8    -           61.21        0.02       135        135              -                0
44 9    -           413.88       0.01       155        155              -                0
45 10   -           902.43       0.02       228        -                -                0
45 11   -           902.96       0.03       237        -                -                0
45 12   -           904.09       0.03       243        -                -                0
45 13   -           904.91       0.02       235        -                -                0
45 14   -           905.57       0.02       258        -                -                0
45 15   -           907.42       0.04       364        -                -                0
45 2    -           0.05         0.01       14         14               -                0
45 3    -           0.27         0.01       38         38               -                0
45 4    -           1.12         0.01       60         60               -                0
45 5    -           6.18         0.01       86         86               -                0
45 6    -           10.84        0.01       104        104              -                0
45 7    -           77.15        0.02       112        112              -                0
